Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3k9PtGmPNnQtt32TKWm6f3,"Basti Ka Hasti","Insaan","MC STAN",2022-02-18,195428,55,true,316wie4bon4ndsxdt5cdtb76cpzq,2022-04-20T11:22:03Z,"hindi hip hop,desi hip hop","MC Stan",0.726,0.624,9,-7.741,1,0.382,0.156,0,0.601,0.421,139.594,4
spotify:track:0MYof8K1RPjc1Htnr7CDa6,"Snake","Snake","MC STAN",2021-03-19,281088,53,false,316wie4bon4ndsxdt5cdtb76cpzq,2022-04-20T11:22:08Z,"hindi hip hop,desi hip hop","MC Stan",0.707,0.625,4,-7.638,0,0.145,0.709,0.00000277,0.298,0.477,123.028,4
spotify:track:6btegcu44HqquqArljhFxu,"Nanchaku","न","Seedhe Maut;MC STAN",2021-09-08,193116,15,true,316wie4bon4ndsxdt5cdtb76cpzq,2022-04-20T11:22:17Z,"desi hip hop,hindi hip hop,hardcore hip hop","Azadi Records",0.81,0.66,2,-8.791,1,0.316,0.141,0,0.173,0.443,140.081,4
spotify:track:0uk9sQ7MjK0CdAUinD4xBV,"Ek Din Pyaar","Tadipaar","MC STAN",2020-12-31,186600,56,true,316wie4bon4ndsxdt5cdtb76cpzq,2022-04-20T11:22:28Z,"hindi hip hop,desi hip hop","MC Stan",0.717,0.699,5,-5.665,0,0.251,0.223,0,0.139,0.689,100.147,4
spotify:track:3n2eisc44JF5RPgTioYOSA,"Wata","Wata","MC STAN",2018-08-08,155315,39,true,316wie4bon4ndsxdt5cdtb76cpzq,2022-04-20T11:23:03Z,"hindi hip hop,desi hip hop","MC Stan",0.897,0.34,1,-9.085,1,0.163,0.168,0,0.0874,0.198,140.097,4
spotify:track:2gNMXJDKRmKWuevBGjN8wo,"3:59 AM","Punya Paap","DIVINE",2020-12-03,272197,64,true,316wie4bon4ndsxdt5cdtb76cpzq,2022-04-20T11:24:03Z,"hindi hip hop,desi hip hop,punjabi hip hop,punjabi pop","Universal Music India Pvt Ltd.",0.669,0.588,2,-6.902,1,0.339,0.177,0,0.179,0.237,97.026,4
spotify:track:1xSCr5uIndaHKFdO4s2V6B,"Satya","Punya Paap","DIVINE",2020-12-03,182640,56,true,316wie4bon4ndsxdt5cdtb76cpzq,2022-04-20T11:24:19Z,"hindi hip hop,desi hip hop,punjabi hip hop,punjabi pop","Universal Music India Pvt Ltd.",0.598,0.804,2,-5.39,1,0.123,0.0576,0,0.252,0.322,139.737,4
spotify:track:7zKzD5wM18bQSiJTAxTpwH,"Mirchi","Punya Paap","DIVINE;MC Altaf;Stylo G;Phenom",2020-12-03,192923,50,false,316wie4bon4ndsxdt5cdtb76cpzq,2022-04-20T11:24:24Z,"hindi hip hop,desi hip hop,punjabi hip hop,punjabi pop,dancehall,soca,witch house","Universal Music India Pvt Ltd.",0.871,0.608,6,-5.486,1,0.4,0.142,0,0.0876,0.818,129.784,4
spotify:track:2ywkj6sjyVBmq46wgIgIlw,"Shehnai","Punya Paap","DIVINE",2020-12-03,153600,33,false,316wie4bon4ndsxdt5cdtb76cpzq,2022-04-20T11:24:28Z,"hindi hip hop,desi hip hop,punjabi hip hop,punjabi pop","Universal Music India Pvt Ltd.",0.73,0.576,10,-9.218,1,0.243,0.00343,0,0.141,0.601,99.958,4
spotify:track:3zIhQR5cyxpVn8WpEivBCr,"Punya Paap","Punya Paap","DIVINE",2020-12-03,180558,43,false,316wie4bon4ndsxdt5cdtb76cpzq,2022-04-20T11:24:34Z,"hindi hip hop,desi hip hop,punjabi hip hop,punjabi pop","Universal Music India Pvt Ltd.",0.781,0.488,1,-9.138,1,0.317,0.0515,0.00000968,0.1,0.449,139.899,4
